download_count,project
29190204,"yfinance"
29031519,"pydata-google-auth"
29027769,"tensorboard"
29001887,"bandit"
28729891,"leather"
28698053,"opentelemetry-distro"
28696904,"sshtunnel"
28678227,"requests-mock"
28662792,"python-engineio"
28644374,"python-socketio"
28585530,"kafka-python"
28552508,"schema"
28399095,"djangorestframework"
28371326,"dbt-extractor"
28330843,"sendgrid"
28288779,"pip-audit"
28129313,"openapi-schema-validator"
28063819,"simple-websocket"
28054691,"azure-batch"
28043896,"pyproj"
28010594,"accelerate"
27907450,"flask-login"
27898878,"apache-airflow-providers-fab"
27795261,"nexus-rpc"
27781179,"spacy"
27770464,"py-cpuinfo"
27746275,"pip-api"
27727013,"qrcode"
27681262,"great-expectations"
27665575,"sphinxcontrib-htmlhelp"
27648827,"sphinxcontrib-qthelp"
27620169,"sphinxcontrib-applehelp"
27601779,"sphinxcontrib-devhelp"
27569652,"nvidia-cublas-cu12"
27568012,"groq"
27559983,"google-cloud-dataproc"
27451531,"userpath"
27440250,"ua-parser"
27293367,"pipenv"
27284479,"pydeck"
27268429,"nvidia-cuda-nvrtc-cu12"
27232853,"gcloud-aio-bigquery"
27178514,"asyncio"
27148203,"vcrpy"
27127849,"oracledb"
27098778,"jsonpath-python"
26883888,"nvidia-cusparse-cu12"
26880886,"nvidia-cudnn-cu12"
26858631,"logfire-api"
26758166,"jpype1"
26736623,"nvidia-nvjitlink-cu12"
26654844,"types-paramiko"
26625278,"pytest-runner"
26617556,"sphinxcontrib-jsmath"
26556250,"openlineage-python"
26552961,"nvidia-cufft-cu12"
26518980,"pypdf2"
26514210,"azure-cosmos"
26502872,"genai-prices"
26350683,"wandb"
26339550,"dbt-semantic-interfaces"
26316054,"logfire"
26308103,"prek"
26277036,"pymdown-extensions"
26276049,"opentelemetry-instrumentation-aiohttp-client"
26164252,"boltons"
26131695,"grpc-interceptor"
26104748,"tree-sitter-bash"
26060904,"watchtower"
26049728,"datadog-api-client"
26018738,"olefile"
26003308,"nvidia-cusolver-cu12"
26001832,"nvidia-cuda-cupti-cu12"
25978592,"aws-requests-auth"
25971643,"nvidia-curand-cu12"
25952714,"natsort"
25895333,"pydot"
25830046,"azure-keyvault-keys"
25629615,"nvidia-cuda-runtime-cu12"
25506961,"py-spy"
25407481,"langfuse"
25245905,"opt-einsum"
25202541,"gql"
25130778,"texttable"
25110713,"sounddevice"
25050238,"daff"
25017791,"cron-descriptor"
24893909,"rich-argparse"
24805684,"jira"
24795060,"geopandas"
24739258,"ua-parser-builtins"
24724689,"hatch"
24688706,"pytesseract"
24633287,"diff-cover"
24519111,"cloudpathlib"
24458508,"pyathena"
24412225,"types-cachetools"
24319914,"questionary"
24316035,"giturlparse"
24233663,"nvidia-nvtx-cu12"
24184951,"catalogue"
24183245,"types-urllib3"
24139359,"jupyter-builder"
24122699,"shortuuid"
24049380,"cssselect"
24043458,"pytest-env"
23992088,"opencensus"
23972593,"binaryornot"
23886790,"opencensus-context"
23856133,"thinc"
23845867,"bitarray"
23820772,"opentelemetry-instrumentation-redis"
23712751,"dacite"
23620893,"face"
23592785,"trino"
23559448,"protego"
23557049,"glom"
23551909,"langchain-anthropic"
23544354,"immutabledict"
23495676,"jax"
23462774,"pymupdf4llm"
23456567,"apache-airflow-providers-snowflake"
23451487,"time-machine"
23367012,"emoji"
23361308,"pymupdf-layout"
23354862,"weasel"
23352777,"flask-limiter"
23333818,"azure-servicebus"
23330481,"pdf2image"
23282118,"apache-airflow-providers-databricks"
23274554,"aws-xray-sdk"
23168516,"mlflow-tracing"
23160794,"cached-property"
23143044,"pyspnego"
23068177,"oscrypto"
23060727,"multitasking"
23057159,"azure-datalake-store"
22959444,"apache-airflow-providers-http"
22957013,"azure-mgmt-resource"
22944462,"snowplow-tracker"
22937878,"factory-boy"
22873380,"pytest-httpx"
22824246,"google-cloud-build"
22657496,"backports-asyncio-runner"
22621136,"partd"
22539665,"locket"
22530730,"jwcrypto"
22510247,"apache-airflow"
22424127,"argparse"
22421877,"url-normalize"
22405528,"aws-lambda-powertools"
22379335,"apache-airflow-providers-google"
22371363,"qdrant-client"
22346464,"resolvelib"
22304956,"murmurhash"
22279949,"levenshtein"
22265397,"bs4"
22261246,"hatch-vcs"
22238058,"opentelemetry-semantic-conventions-ai"
22221967,"respx"
22172866,"firebase-admin"
22144063,"hydra-core"
22067015,"pybase64"
22006060,"langchain-classic"
21995534,"rdflib"
21983774,"configargparse"
21857473,"blis"
21824406,"types-redis"
21783628,"pytest-html"
21723504,"django-cors-headers"
21706952,"preshed"
21618409,"srsly"
21589624,"slowapi"
21589369,"pathlib-abc"
21585877,"databricks-labs-blueprint"
21563983,"mysqlclient"
21555994,"pytest-django"
21528413,"pkgutil-resolve-name"
21449015,"cymem"
21434572,"kubernetes-asyncio"
21344113,"pycares"
21308324,"tensorboard-data-server"
21264593,"types-deprecated"
21233843,"fire"
21223146,"maxminddb"
21179540,"checkov"
21148065,"pytzdata"
21140902,"parameterized"
21136028,"python-daemon"
21082081,"typer-slim"
21048581,"huey"
21045789,"wasabi"
21045134,"nvidia-ml-py"
21038345,"pydub"
21035871,"sqlmodel"
21035573,"python-gitlab"
21000366,"requests-cache"
20969797,"pytest-split"
20934450,"blake3"
20923205,"sagemaker"
20906017,"azure-monitor-opentelemetry"
20887317,"py-partiql-parser"
20874719,"jsonpickle"
20761191,"tensorflow"
20745538,"xarray"
20698785,"types-cffi"
20670714,"cairosvg"
20659206,"spacy-legacy"
20619567,"spacy-loggers"
20577101,"pathvalidate"
20544828,"confection"
20518305,"aiodns"
20484447,"onnx"
20471755,"lxml-html-clean"
20468163,"apache-airflow-providers-common-compat"
20456049,"pywin32-ctypes"
20413006,"twilio"
20373143,"azure-kusto-data"
20308065,"feedparser"
20241585,"python-utils"
20213009,"flask-wtf"
20135601,"gast"
20086773,"looker-sdk"
20041303,"yt-dlp"
20035933,"astor"
19995332,"nvidia-cusparselt-cu12"
19962838,"skops"
19953480,"azure-mgmt-compute"
19888242,"keyrings-google-artifactregistry-auth"
19885974,"ollama"
19880373,"instructor"
19814213,"shap"
19738690,"awscrt"
19731216,"sqlalchemy-spanner"
19720794,"types-pyopenssl"
19631249,"arxiv"
19588512,"aiosmtplib"
19580081,"python-frontmatter"
19542671,"keras"
19541701,"amazon-ion"
19538017,"ansible-core"
19408722,"wtforms"
19395613,"azure-storage-file-share"
19391101,"asyncssh"
19379125,"maturin"
19370440,"genson"
19344398,"progressbar2"
19272987,"cachelib"
19258461,"sagemaker-studio"
19173377,"aiohttp-cors"
19140409,"wikipedia-api"
19110259,"fpdf2"
19001861,"geopy"
18857053,"ldap3"
18823398,"opentelemetry-instrumentation-grpc"
18816096,"jaxlib"
18780267,"google-adk"
18662111,"docopt"
18527579,"pathos"
18513309,"opentelemetry-resourcedetector-gcp"
18508227,"pyproject-api"
18428509,"gradio"
18366954,"ipdb"
18097854,"geographiclib"
18041870,"pox"
18038649,"parse"
18029953,"geoip2"
18014267,"uuid6"
17997435,"colorful"
17994695,"docling"
17993050,"statsd"
17992959,"jupyter"
17981211,"cmake"
17979399,"meson"
17937089,"ppft"
17914336,"mkdocs-material"
